http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/8,345,Class 2,GOOD TO YIELDING,"TURF - ""C"" COURSE",1650,99.86,6 37.50,6 16.50,"3,6 97.50","3,6 44.50","6,3,7 12,066.00","3,6,7 2,879.00","3,6,7,9 7,009.00","6,3,7,9 111,052.00",,,,,,,,,,,,,,,,"4,6/1,3,6/1,3/7,9/10,12/3,6 10,833.00",1 [J Moreira],NOT WIN,20.00,NOT WIN
,,,,,,1.40.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/1,328,Class 4,GOOD TO YIELDING,"TURF - ""C+3"" COURSE",1000,56.88,4 158.50,4 40.00,"4,5 1,660.50","4,5 427.50","4,5,7 18,587.00","4,5,7 2,026.00","3,4,5,7 3,755.00","4,5,7,3 131,354.00",,,,,,,,,,,,,,,,,,NOT WIN,NOT WIN,53.00
,,,,,,0.56.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/2,329,Class 5,WET SLOW,ALL WEATHER TRACK,1200,70.41,1 133.00,1 37.50,"1,7 297.00","1,7 104.00","1,7,2 5,885.00","1,2,7 1,011.00","1,2,3,7 615.00","1,7,2,3 20,530.00",,,,,,,,,"4/1 2,529.00",,,,,,,,,NOT WIN,NOT WIN,28.00
,,,,,,1.10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/5,332,Class 3,GOOD,"TURF - ""C+3"" COURSE",1800,108.06,10 42.50,10 17.50,"2,10 1,368.50","2,10 391.50","10,2,6 12,009.00","2,6,10 1,583.00","2,6,10,14 6,684.00","10,2,6,14 197,789.00",,,,,,,,,,,,,,,,,,21.50,NOT WIN,NOT WIN
,,,,,,1.48.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/6,333,Class 4,GOOD,"TURF - ""C+3"" COURSE",1400,82.26,8 39.00,8 16.00,"4,8 71.50","4,8 29.50","8,4,1 3,061.00","1,4,8 651.00","1,4,8,12 2,362.00","8,4,1,12 32,896.00",,,,,10/8 170.00,,,,,,,,,"1,2>5,10/2,6,10/Any combination 11,942.00","1,2>5,10/2,6,10/1,4,8 3,826,375.00",,,16.50,NOT WIN,NOT WIN
,,,,,,1.22.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/7,334,Class 3,WET SLOW,ALL WEATHER TRACK,1200,69.28,5 127.50,5 32.50,"1,5 714.00","1,5 233.50","5,1,3 6,917.00","1,3,5 765.00","1,3,5,7 2,772.00","5,1,3,7 94,593.00",,,,8/5 581.50,,,,,,,,"1,4,8/1,3,5 59,264.00",,,,,,NOT WIN,27.50,NOT WIN
,,,,,,1.09.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/8,335,Class 3,GOOD,"TURF - ""C+3"" COURSE",1200,69.43,10 18.00,10 11.00,"9,10 372.50","9,10 94.50","10,9,12 2,937.00","9,10,12 1,015.00","2,9,10,12 751.00","10,9,12,2 13,325.00",,,,,,,,,,,,,,,,,,12.50,NOT WIN,NOT WIN
,,,,,,1.09.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/9,336,Class 1,WET SLOW,ALL WEATHER TRACK,1200,68.07,5 97.50,5 29.00,"5,12 162.50","5,12 72.00","5,12,4 1,941.00","4,5,12 214.00","4,5,9,12 474.00","5,12,4,9 11,997.00",,10/5 339.00,,,,,,,,,,,,,,,,NOT WIN,NOT WIN,29.50
,,,,,,1.08.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/1,302,Class 5,GOOD,"TURF - ""A"" COURSE",1200,70.59,7 51.00,7 20.50,"5,7 390.00","5,7 129.00","7,5,8 3,845.00","5,7,8 620.00","4,5,7,8 7,581.00","7,5,8,4 140,680.00",,,,,,,,,,,,,,,,,,29.00,NOT WIN,NOT WIN
,,,,,,1.10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/6,307,Class 3,GOOD,"TURF - ""A"" COURSE",2200,138.39,9 41.50,9 16.00,"7,9 153.00","7,9 66.50","9,7,4 1,283.00","4,7,9 301.00","4,7,8,9 571.00","9,7,4,8 9,180.00",,,,,"2/9 3,457.00",,,,,,,,,"7,8,11/Any combination/Any combination 524.00",,,,25.50,NOT WIN,NOT WIN
,,,,,,2.18.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/3,330,Class 4,GOOD TO YIELDING,"TURF - ""C+3"" COURSE",1200,70.39,10 26.00,10 12.50,"4,10 34.00","4,10 18.00","10,4,12 448.00","4,10,12 96.00","4,8,10,12 268.00","10,4,12,8 3,381.00",,,,,,,,1/10 459.00,,,,,,,,,,13.50,NOT WIN,NOT WIN
,,,,,,1.10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/4,331,Class 4,GOOD TO YIELDING,"TURF - ""C+3"" COURSE",1600,96.39,10 27.50,10 13.50,"1,10 81.00","1,10 34.50","10,1,2 1,831.00","1,2,10 479.00","1,2,10,12 2,956.00","10,1,2,12 29,248.00",,,,,,,"10/5,10 74.50",,,,"4,10,12/1,2>5,10 7,718.00",,,,,,,16.00,NOT WIN,NOT WIN
,,,,,,1.37.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/10,337,Class 3,GOOD,"TURF - ""C+3"" COURSE",1400,82.18,2 59.00,2 17.00,"2,3 90.50","2,3 29.00","2,3,8 506.00","2,3,8 63.00","2,3,8,13 294.00","2,3,8,13 6,557.00",5/2 607.50,,,,,,,,,,,,"4,5,12/2,3,8,9,12 1,826.00",,,"2,10/4,8/1,5/9,10/5,12/2,3 5,268.00",1 [J Moreira],NOT WIN,47.00,NOT WIN
,,,,,,1.22.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/2,303,Class 4,GOOD,"TURF - ""A"" COURSE",1200,70.96,2 272.50,2 59.50,"2,8 1,011.00","2,8 317.50","2,8,4 28,021.00","2,4,8 3,872.00","2,3,4,8 8,566.00","2,8,4,3 282,926.00",,,,,,,,,"7/2 1,164.00",,,,,,,,,NOT WIN,NOT WIN,28.50
,,,,,,1.11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3,304,Class 3,GOOD,"TURF - ""A"" COURSE",1650,100.68,6 78.00,6 26.50,"1,6 1,493.00","1,6 369.50","6,1,4 14,469.00","1,4,6 2,799.00","1,4,6,7 2,216.00","6,1,4,7 57,262.00",,,,,,,,"2/6 1,524.50",,,,,,,,,,NOT WIN,28.00,NOT WIN
,,,,,,1.40.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/4,305,Class 4,GOOD,"TURF - ""A"" COURSE",1650,101.33,7 261.00,7 77.50,"7,8 1,862.50","7,8 478.00","7,8,11 31,203.00","7,8,11 4,741.00","4,7,8,11 13,172.00","7,8,11,4 431,032.00",,,,,,,"6/7 1,513.50",,,,"1,4,6/7,8,11 1,892,736.00",,,,,,,NOT WIN,NOT WIN,21.00
,,,,,,1.41.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5,306,Class 4,GOOD,"TURF - ""A"" COURSE",1650,100.92,2 638.50,2 121.00,"2,6 7,427.00","2,6 1,515.00","2,6,4 95,730.00","2,4,6 10,533.00","2,4,5,6 19,878.00","2,6,4,5 576,803.00",,,,,,,,,,,,,,,,,,NOT WIN,NOT WIN,45.00
,,,,,,1.41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7,308,Hong Kong Group Three,GOOD,"TURF - ""A"" COURSE",1800,108.52,8 195.00,8 48.50,"6,8 517.00","6,8 155.50","8,6,11 15,543.00","6,8,11 1,690.00","6,7,8,11 2,842.00","8,6,11,7 97,345.00",,,,9/8 705.50,,,,,,,,"4,7,9/6,8,11 73,068.00",,,,,,NOT WIN,NOT WIN,29.50
,,,,,,1.48.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/8,309,Class 3,GOOD,"TURF - ""A"" COURSE",1200,70.38,6 59.00,6 18.50,"6,11 249.00","6,11 78.00","6,11,5 1,376.00","5,6,11 164.00","3,5,6,11 222.00","6,11,5,3 5,272.00",,,,,,,,,,,,,,,,"1,6/7,8/2,6/7,9/6,8/6,11 1,413,378.00",4 [N Callan] (Refund:6 [C Schofield]),18.50,NOT WIN,NOT WIN
,,,,,,1.10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/1,11,Class 5,GOOD,"TURF - ""A"" COURSE",1000,58.51,4 26.00,4 12.00,"4,5 166.00","4,5 57.50","4,5,3 8,064.00","3,4,5 2,833.00","2,3,4,5 2,688.00","4,5,3,2 43,875.00",,,,,,,,,,,,,,,,,,,,
,,,,,,0.58.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/2,12,Class 4,GOOD,"TURF - ""A"" COURSE",1200,70.97,11 30.50,11 13.50,"10,11 76.50","10,11 36.00","11,10,3 860.00","3,10,11 245.00","1,3,10,11 278.00","11,10,3,1 4,029.00",,,,,,,,,4/11 74.50,,,,,,,,,,,
,,,,,,1.11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/3,13,Class 3,GOOD,"TURF - ""A"" COURSE",1000,58.11,1 65.50,1 21.00,"1,4 198.00","1,4 70.00","1,4,2 2,550.00","1,2,4 307.00","1,2,4,6 290.00","1,4,2,6 9,066.00",,,,,,,,11/1 335.00,,,,,,,,,,,,
,,,,,,0.58.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/4,14,Class 5,GOOD,"TURF - ""A"" COURSE",1650,102.38,11 52.00,11 16.50,"2,11 110.50","2,11 40.50","11,2,6 986.00","2,6,11 154.00","2,6,10,11 551.00","11,2,6,10 10,237.00",,,,,,,1/11 426.50,,,,"1,2,4/2,6,11 5,604.00",,,,,,,,,
,,,,,,1.42.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/5,15,Class 4,GOOD,"TURF - ""A"" COURSE",1200,70.82,3 296.00,3 60.00,"3,8 1,184.00","3,8 256.00","3,8,9 24,776.00","3,8,9 3,223.00","1,3,8,9 2,032.00","3,8,9,1 76,880.00",,,,,,,,,,,,,,,,,,,,
,,,,,,1.10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/6,16,Class 4,GOOD,"TURF - ""A"" COURSE",1650,102.12,1 46.00,1 17.50,"1,8 75.50","1,8 33.50","1,8,4 420.00","1,4,8 69.00","1,4,8,12 461.00","1,8,4,12 8,272.00",,,,,"3/1 1,676.00",,,,,,,,,"2,6,11/3,8,9/Any combination 13,226.00","2,6,11/3,8,9/1,4,8 1,365,147.00",,,,,
,,,,,,1.42.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/7,17,Class 3,GOOD,"TURF - ""A"" COURSE",1650,102.58,10 56.50,10 18.50,"6,10 149.50","6,10 52.50","10,6,4 2,119.00","4,6,10 400.00","3,4,6,10 272.00","10,6,4,3 6,159.00",,,,1/10 284.50,,,,,,,,"1,4,8/4,6,10 5,212.00",,,,,,,,
,,,,,,1.42.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Inurl,raceindex,raceclass,going,courseconfig,racedistance,finishtime,win_combo_div,place_combo_div,qn_combo_div,qnp_combo_div,tce_combo_div,trio_combo_div,f4_combo_div,qtt_combo_div,dbl9_combo_div,dbl8_combo_div,dbl7_combo_div,dbl6_combo_div,dbl5_combo_div,dbl4_combo_div,dbl3_combo_div,dbl2_combo_div,dbl1_combo_div,dbl10_combo_div,dbltrio1_combo_div,dbltrio2_combo_div,dbltrio3_combo_div,tripletriocons_combo_div,tripletrio_combo_div,sixup_combo_div,jockeychallenge_combo_div,a1_div,a2_div,a3_div
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1,338,Class 4,GOOD,"TURF - ""C"" COURSE",1200,70.37,5 17.50,5 11.00,"5,12 84.50","5,12 42.00","5,12,6 4,545.00","5,6,12 1,500.00","2,5,6,12 3,591.00","5,12,6,2 41,782.00",,,,,,,,,,,,,,,,,,15.00,NOT WIN,NOT WIN
,,,,,,1.10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/2,339,Class 4,GOOD,"TURF - ""C"" COURSE",1650,101.66,7 39.00,7 15.00,"5,7 96.00","5,7 36.50","7,5,10 884.00","5,7,10 178.00","4,5,7,10 355.00","7,5,10,4 5,192.00",,,,,,,,,5/7 59.50,,,,,,,,,23.50,NOT WIN,NOT WIN
,,,,,,1.41.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3,340,Class 4,GOOD,"TURF - ""C"" COURSE",2200,138.14,6 28.50,6 14.50,"4,6 79.50","4,6 33.00","6,4,12 934.00","4,6,12 216.00","4,6,11,12 1,435.00","6,4,12,11 16,189.00",,,,,,,,7/6 167.00,,,,,,,,,,19.50,NOT WIN,NOT WIN
,,,,,,2.18.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4,341,Class 4,GOOD TO YIELDING,"TURF - ""C"" COURSE",1200,71.3,1 32.50,1 14.00,"1,3 58.50","1,3 28.50","1,3,2 1,062.00","1,2,3 279.00","1,2,3,10 636.00","1,3,2,10 7,223.00",,,,,,,"6/1,6 89.50",,,,"4,6,12/2,3>1,6 7,171.00",,,,,,,NOT WIN,21.00,NOT WIN
,,,,,,1.11.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/5,342,Class 3,GOOD TO YIELDING,"TURF - ""C"" COURSE",1000,58.04,3 50.50,3 17.50,"1,3 138.50","1,3 47.50","3,1,10 906.00","1,3,10 190.00","1,2,3,10 236.00","3,1,10,2 4,405.00",,,,,,,,,,,,,,,,,,NOT WIN,15.00,NOT WIN
,,,,,,0.58.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/6,343,Class 3,GOOD TO YIELDING,"TURF - ""C"" COURSE",1650,101.41,7 175.00,7 49.50,"7,9 3,067.00","7,9 895.00","7,9,12 94,260.00","7,9,12 17,827.00","5,7,9,12 21,041.00","7,9,12,5 539,259.00",,,,,3/7 723.00,,,,,,,,,"2,3>1,6/1,3,10/Any combination 905.00",,,,NOT WIN,NOT WIN,20.00
,,,,,,1.41.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/7,344,Class 2,GOOD TO YIELDING,"TURF - ""C"" COURSE",1200,70.6,12 85.00,12 25.00,"10,12 237.50","10,12 83.00","12,10,8 4,043.00","8,10,12 775.00","8,10,11,12 2,227.00","12,10,8,11 40,048.00",,,,"7/12 1,332.00",,,,,,,,"7,9,12/8,10,12 1,945,406.00",,,,,,NOT WIN,31.00,NOT WIN
,,,,,,1.10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/8,345,Class 2,GOOD TO YIELDING,"TURF - ""C"" COURSE",1650,99.86,6 37.50,6 16.50,"3,6 97.50","3,6 44.50","6,3,7 12,066.00","3,6,7 2,879.00","3,6,7,9 7,009.00","6,3,7,9 111,052.00",,,,,,,,,,,,,,,,"4,6/1,3,6/1,3/7,9/10,12/3,6 10,833.00",1 [J Moreira],NOT WIN,20.00,NOT WIN
,,,,,,1.40.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/1,328,Class 4,GOOD TO YIELDING,"TURF - ""C+3"" COURSE",1000,56.88,4 158.50,4 40.00,"4,5 1,660.50","4,5 427.50","4,5,7 18,587.00","4,5,7 2,026.00","3,4,5,7 3,755.00","4,5,7,3 131,354.00",,,,,,,,,,,,,,,,,,NOT WIN,NOT WIN,53.00
,,,,,,0.56.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/2,329,Class 5,WET SLOW,ALL WEATHER TRACK,1200,70.41,1 133.00,1 37.50,"1,7 297.00","1,7 104.00","1,7,2 5,885.00","1,2,7 1,011.00","1,2,3,7 615.00","1,7,2,3 20,530.00",,,,,,,,,"4/1 2,529.00",,,,,,,,,NOT WIN,NOT WIN,28.00
,,,,,,1.10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/3,330,Class 4,GOOD TO YIELDING,"TURF - ""C+3"" COURSE",1200,70.39,10 26.00,10 12.50,"4,10 34.00","4,10 18.00","10,4,12 448.00","4,10,12 96.00","4,8,10,12 268.00","10,4,12,8 3,381.00",,,,,,,,1/10 459.00,,,,,,,,,,13.50,NOT WIN,NOT WIN
,,,,,,1.10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/4,331,Class 4,GOOD TO YIELDING,"TURF - ""C+3"" COURSE",1600,96.39,10 27.50,10 13.50,"1,10 81.00","1,10 34.50","10,1,2 1,831.00","1,2,10 479.00","1,2,10,12 2,956.00","10,1,2,12 29,248.00",,,,,,,"10/5,10 74.50",,,,"4,10,12/1,2>5,10 7,718.00",,,,,,,16.00,NOT WIN,NOT WIN
,,,,,,1.37.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/5,332,Class 3,GOOD,"TURF - ""C+3"" COURSE",1800,108.06,10 42.50,10 17.50,"2,10 1,368.50","2,10 391.50","10,2,6 12,009.00","2,6,10 1,583.00","2,6,10,14 6,684.00","10,2,6,14 197,789.00",,,,,,,,,,,,,,,,,,21.50,NOT WIN,NOT WIN
,,,,,,1.48.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/6,333,Class 4,GOOD,"TURF - ""C+3"" COURSE",1400,82.26,8 39.00,8 16.00,"4,8 71.50","4,8 29.50","8,4,1 3,061.00","1,4,8 651.00","1,4,8,12 2,362.00","8,4,1,12 32,896.00",,,,,10/8 170.00,,,,,,,,,"1,2>5,10/2,6,10/Any combination 11,942.00","1,2>5,10/2,6,10/1,4,8 3,826,375.00",,,16.50,NOT WIN,NOT WIN
,,,,,,1.22.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/8,335,Class 3,GOOD,"TURF - ""C+3"" COURSE",1200,69.43,10 18.00,10 11.00,"9,10 372.50","9,10 94.50","10,9,12 2,937.00","9,10,12 1,015.00","2,9,10,12 751.00","10,9,12,2 13,325.00",,,,,,,,,,,,,,,,,,12.50,NOT WIN,NOT WIN
,,,,,,1.09.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/9,336,Class 1,WET SLOW,ALL WEATHER TRACK,1200,68.07,5 97.50,5 29.00,"5,12 162.50","5,12 72.00","5,12,4 1,941.00","4,5,12 214.00","4,5,9,12 474.00","5,12,4,9 11,997.00",,10/5 339.00,,,,,,,,,,,,,,,,NOT WIN,NOT WIN,29.50
,,,,,,1.08.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/10,337,Class 3,GOOD,"TURF - ""C+3"" COURSE",1400,82.18,2 59.00,2 17.00,"2,3 90.50","2,3 29.00","2,3,8 506.00","2,3,8 63.00","2,3,8,13 294.00","2,3,8,13 6,557.00",5/2 607.50,,,,,,,,,,,,"4,5,12/2,3,8,9,12 1,826.00",,,"2,10/4,8/1,5/9,10/5,12/2,3 5,268.00",1 [J Moreira],NOT WIN,47.00,NOT WIN
,,,,,,1.22.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/2,303,Class 4,GOOD,"TURF - ""A"" COURSE",1200,70.96,2 272.50,2 59.50,"2,8 1,011.00","2,8 317.50","2,8,4 28,021.00","2,4,8 3,872.00","2,3,4,8 8,566.00","2,8,4,3 282,926.00",,,,,,,,,"7/2 1,164.00",,,,,,,,,NOT WIN,NOT WIN,28.50
,,,,,,1.11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3,304,Class 3,GOOD,"TURF - ""A"" COURSE",1650,100.68,6 78.00,6 26.50,"1,6 1,493.00","1,6 369.50","6,1,4 14,469.00","1,4,6 2,799.00","1,4,6,7 2,216.00","6,1,4,7 57,262.00",,,,,,,,"2/6 1,524.50",,,,,,,,,,NOT WIN,28.00,NOT WIN
,,,,,,1.40.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/4,305,Class 4,GOOD,"TURF - ""A"" COURSE",1650,101.33,7 261.00,7 77.50,"7,8 1,862.50","7,8 478.00","7,8,11 31,203.00","7,8,11 4,741.00","4,7,8,11 13,172.00","7,8,11,4 431,032.00",,,,,,,"6/7 1,513.50",,,,"1,4,6/7,8,11 1,892,736.00",,,,,,,NOT WIN,NOT WIN,21.00
,,,,,,1.41.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5,306,Class 4,GOOD,"TURF - ""A"" COURSE",1650,100.92,2 638.50,2 121.00,"2,6 7,427.00","2,6 1,515.00","2,6,4 95,730.00","2,4,6 10,533.00","2,4,5,6 19,878.00","2,6,4,5 576,803.00",,,,,,,,,,,,,,,,,,NOT WIN,NOT WIN,45.00
,,,,,,1.41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/6,307,Class 3,GOOD,"TURF - ""A"" COURSE",2200,138.39,9 41.50,9 16.00,"7,9 153.00","7,9 66.50","9,7,4 1,283.00","4,7,9 301.00","4,7,8,9 571.00","9,7,4,8 9,180.00",,,,,"2/9 3,457.00",,,,,,,,,"7,8,11/Any combination/Any combination 524.00",,,,25.50,NOT WIN,NOT WIN
,,,,,,2.18.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7,308,Hong Kong Group Three,GOOD,"TURF - ""A"" COURSE",1800,108.52,8 195.00,8 48.50,"6,8 517.00","6,8 155.50","8,6,11 15,543.00","6,8,11 1,690.00","6,7,8,11 2,842.00","8,6,11,7 97,345.00",,,,9/8 705.50,,,,,,,,"4,7,9/6,8,11 73,068.00",,,,,,NOT WIN,NOT WIN,29.50
,,,,,,1.48.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/8,309,Class 3,GOOD,"TURF - ""A"" COURSE",1200,70.38,6 59.00,6 18.50,"6,11 249.00","6,11 78.00","6,11,5 1,376.00","5,6,11 164.00","3,5,6,11 222.00","6,11,5,3 5,272.00",,,,,,,,,,,,,,,,"1,6/7,8/2,6/7,9/6,8/6,11 1,413,378.00",4 [N Callan] (Refund:6 [C Schofield]),18.50,NOT WIN,NOT WIN
,,,,,,1.10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/5,15,Class 4,GOOD,"TURF - ""A"" COURSE",1200,70.82,3 296.00,3 60.00,"3,8 1,184.00","3,8 256.00","3,8,9 24,776.00","3,8,9 3,223.00","1,3,8,9 2,032.00","3,8,9,1 76,880.00",,,,,,,,,,,,,,,,,,,,
,,,,,,1.10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/7,334,Class 3,WET SLOW,ALL WEATHER TRACK,1200,69.28,5 127.50,5 32.50,"1,5 714.00","1,5 233.50","5,1,3 6,917.00","1,3,5 765.00","1,3,5,7 2,772.00","5,1,3,7 94,593.00",,,,8/5 581.50,,,,,,,,"1,4,8/1,3,5 59,264.00",,,,,,NOT WIN,27.50,NOT WIN
,,,,,,1.09.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/1,302,Class 5,GOOD,"TURF - ""A"" COURSE",1200,70.59,7 51.00,7 20.50,"5,7 390.00","5,7 129.00","7,5,8 3,845.00","5,7,8 620.00","4,5,7,8 7,581.00","7,5,8,4 140,680.00",,,,,,,,,,,,,,,,,,29.00,NOT WIN,NOT WIN
,,,,,,1.10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/3,749,Class 4,GOOD TO FIRM,"TURF - ""A+3"" COURSE",1000,56.58,2 177.50,2 36.50,"2,3 1,532.50","2,3 310.00","2,3,5 79,174.00","2,3,5 6,365.00","2,3,5,7 18,521.00","2,3,5,7 456,008.00",,,,,,,,1/2 361.00,,,,,,,,,,,,
,,,,,,0.56.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/1,11,Class 5,GOOD,"TURF - ""A"" COURSE",1000,58.51,4 26.00,4 12.00,"4,5 166.00","4,5 57.50","4,5,3 8,064.00","3,4,5 2,833.00","2,3,4,5 2,688.00","4,5,3,2 43,875.00",,,,,,,,,,,,,,,,,,,,
,,,,,,0.58.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
